,GM,P,Phase,T,X(C),X(FE),"Y(FCC_A1,0,FE)","Y(FCC_A1,1,C)","Y(FCC_A1,1,VA)"
1833,-22771.817682139234,774263682.6811278,FCC_A1,900.0,0.17273958699287792,0.827260413007122,1.0,0.20880920237070594,0.791190797629294
1834,10243.171827180156,774263682.6811278,FCC_A1,900.0,0.4871155270238857,0.5128844729761143,1.0,0.9497568218380659,0.050243178161934104
1835,-19784.95077126717,774263682.6811278,FCC_A1,900.0,0.2201242602584026,0.7798757397415975,1.0,0.28225555564959376,0.7177444443504063
1836,12951.365844489696,774263682.6811278,FCC_A1,900.0,0.499999999975,0.500000000025,1.0,0.9999999999,9.999999999e-11
1837,-29542.13132689738,774263682.6811278,FCC_A1,900.0,0.0,1.0,1.0,0.0,1.0
1838,12935.387086935163,774263682.6811278,FCC_A1,900.0,0.4999459411753805,0.5000540588246195,1.0,0.9997837880778467,0.00021621192215327513
1839,12772.266189895345,774263682.6811278,FCC_A1,900.0,0.49930352181417914,0.5006964781858207,1.0,0.9972179625135598,0.0027820374864401497
1840,12951.36480014124,774263682.6811278,FCC_A1,900.0,0.4999999976283814,0.5000000023716186,1.0,0.9999999905135256,9.486474353018223e-09
1841,12951.363858379249,774263682.6811278,FCC_A1,900.0,0.4999999954141957,0.5000000045858043,1.0,0.9999999816567829,1.8343217072612793e-08
1842,-19988.56402088049,774263682.6811278,FCC_A1,900.0,0.2171216720821679,0.7828783279178322,1.0,0.2773376964714703,0.7226623035285298
1843,12950.155407401684,774263682.6811278,FCC_A1,900.0,0.49999639892742553,0.5000036010725746,1.0,0.999985595813443,1.4404186557041994e-05
1844,12939.280019808115,774263682.6811278,FCC_A1,900.0,0.49995971189621186,0.500040288103788,1.0,0.999838860568852,0.00016113943114795374
1845,10885.42760522057,774263682.6811278,FCC_A1,900.0,0.4904128356001277,0.5095871643998723,1.0,0.9623728183532141,0.0376271816467859
1846,12951.36581583416,774263682.6811278,FCC_A1,900.0,0.49999999991629346,0.5000000000837066,1.0,0.9999999996651738,3.3482614281024546e-10
1847,12622.653722660463,774263682.6811278,FCC_A1,900.0,0.49867081356849896,0.5013291864315012,1.0,0.9946973506930152,0.005302649306984846
1848,7584.713120242104,774263682.6811278,FCC_A1,1000.0,0.5,0.5,1.0,1.0,0.0
1849,-36380.46717074515,774263682.6811278,FCC_A1,1000.0,0.0,1.0,1.0,0.0,1.0
1850,-20944.395056399026,774263682.6811278,FCC_A1,1000.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
1851,-25303.583366789237,774263682.6811278,FCC_A1,1000.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
1852,-2145.9519487498897,774263682.6811278,FCC_A1,1000.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
1853,-3451.398260011665,774263682.6811278,FCC_A1,1000.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
1854,-34628.956104192606,774263682.6811278,FCC_A1,1000.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
1855,-16093.059276347674,774263682.6811278,FCC_A1,1000.0,0.33911734957851347,0.6608826504214864,1.0,0.5131279348341752,0.48687206516582476
1856,-20427.840805705415,774263682.6811278,FCC_A1,1000.0,0.29440060207661023,0.7055993979233898,1.0,0.41723476939329057,0.5827652306067095
1857,-29454.142114823866,774263682.6811278,FCC_A1,1000.0,0.17273958699287792,0.827260413007122,1.0,0.20880920237070594,0.791190797629294
1858,4753.635890657597,774263682.6811278,FCC_A1,1000.0,0.4871155270238857,0.5128844729761143,1.0,0.9497568218380659,0.050243178161934104
1859,-26361.240818740476,774263682.6811278,FCC_A1,1000.0,0.2201242602584026,0.7798757397415975,1.0,0.28225555564959376,0.7177444443504063
1860,7584.713106326306,774263682.6811278,FCC_A1,1000.0,0.499999999975,0.500000000025,1.0,0.9999999999,9.999999999e-11
1861,-36380.46717074515,774263682.6811278,FCC_A1,1000.0,0.0,1.0,1.0,0.0,1.0
1862,7567.726708610422,774263682.6811278,FCC_A1,1000.0,0.4999459411753805,0.5000540588246195,1.0,0.9997837880778467,0.00021621192215327513
1863,7395.5915459488015,774263682.6811278,FCC_A1,1000.0,0.49930352181417914,0.5006964781858207,1.0,0.9972179625135598,0.0027820374864401497
1864,7584.711979271205,774263682.6811278,FCC_A1,1000.0,0.4999999976283814,0.5000000023716186,1.0,0.9999999905135256,9.486474353018223e-09
1865,7584.710964319952,774263682.6811278,FCC_A1,1000.0,0.4999999954141957,0.5000000045858043,1.0,0.9999999816567829,1.8343217072612793e-08
1866,-26572.150749271554,774263682.6811278,FCC_A1,1000.0,0.2171216720821679,0.7828783279178322,1.0,0.2773376964714703,0.7226623035285298
1867,7583.419326188308,774263682.6811278,FCC_A1,1000.0,0.49999639892742553,0.5000036010725746,1.0,0.999985595813443,1.4404186557041994e-05
1868,7571.85662616752,774263682.6811278,FCC_A1,1000.0,0.49995971189621186,0.500040288103788,1.0,0.999838860568852,0.00016113943114795374
1869,5422.625765218771,774263682.6811278,FCC_A1,1000.0,0.4904128356001277,0.5095871643998723,1.0,0.9623728183532141,0.0376271816467859
1870,7584.713075320707,774263682.6811278,FCC_A1,1000.0,0.49999999991629346,0.5000000000837066,1.0,0.9999999996651738,3.3482614281024546e-10
1871,7238.303273544546,774263682.6811278,FCC_A1,1000.0,0.49867081356849896,0.5013291864315012,1.0,0.9946973506930152,0.005302649306984846
1872,1948.849895895212,774263682.6811278,FCC_A1,1100.0,0.5,0.5,1.0,1.0,0.0
1873,-43542.00095039643,774263682.6811278,FCC_A1,1100.0,0.0,1.0,1.0,0.0,1.0
1874,-27624.708241716045,774263682.6811278,FCC_A1,1100.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
1875,-32141.064428698388,774263682.6811278,FCC_A1,1100.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
1876,-8162.967338879617,774263682.6811278,FCC_A1,1100.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
1877,-9514.818136140906,774263682.6811278,FCC_A1,1100.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
1878,-41785.8991502358,774263682.6811278,FCC_A1,1100.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
1879,-22600.518976690062,774263682.6811278,FCC_A1,1100.0,0.33911734957851347,0.6608826504214864,1.0,0.5131279348341752,0.48687206516582476
1880,-27089.632412406907,774263682.6811278,FCC_A1,1100.0,0.29440060207661023,0.7055993979233898,1.0,0.41723476939329057,0.5827652306067095
1881,-36441.01294418204,774263682.6811278,FCC_A1,1100.0,0.17273958699287792,0.827260413007122,1.0,0.20880920237070594,0.791190797629294
1882,-1006.5017327641772,774263682.6811278,FCC_A1,1100.0,0.4871155270238857,0.5128844729761143,1.0,0.9497568218380659,0.050243178161934104
1883,-33236.96090766755,774263682.6811278,FCC_A1,1100.0,0.2201242602584026,0.7798757397415975,1.0,0.28225555564959376,0.7177444443504063
1884,1948.849880904731,774263682.6811278,FCC_A1,1100.0,0.499999999975,0.500000000025,1.0,0.9999999999,9.999999999e-11
1885,-43542.00095039643,774263682.6811278,FCC_A1,1100.0,0.0,1.0,1.0,0.0,1.0
1886,1930.850006034173,774263682.6811278,FCC_A1,1100.0,0.4999459411753805,0.5000540588246195,1.0,0.9997837880778467,0.00021621192215327513
1887,1749.6312125863305,774263682.6811278,FCC_A1,1100.0,0.49930352181417914,0.5006964781858207,1.0,0.9972179625135598,0.0027820374864401497
1888,1948.8486708896107,774263682.6811278,FCC_A1,1100.0,0.4999999976283814,0.5000000023716186,1.0,0.9999999905135256,9.486474353018223e-09
1889,1948.8475825100168,774263682.6811278,FCC_A1,1100.0,0.4999999954141957,0.5000000045858043,1.0,0.9999999816567829,1.8343217072612793e-08
1890,-33455.49172326573,774263682.6811278,FCC_A1,1100.0,0.2171216720821679,0.7828783279178322,1.0,0.2773376964714703,0.7226623035285298
